Post_ID,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Total_Engagement,Engagement_Rate
Post_1,tiktok,challenge,video,uk,4163464,339431,53135,19346,high,411912,9.893492534101412
Post_2,instagram,education,shorts,india,4155940,215240,65860,27239,medium,308339,7.419236081367873
Post_3,twitter,challenge,video,brazil,3666211,327143,39423,36223,medium,402789,10.986519870242056
Post_4,youtube,education,shorts,australia,917951,127125,11687,36806,low,175618,19.131522270796587
Post_5,tiktok,dance,post,brazil,64866,171361,69581,6376,medium,247318,381.27524434989056
Post_6,instagram,challenge,shorts,australia,1323566,136282,86979,47129,low,270390,20.42890192102245
Post_7,youtube,comedy,tweet,japan,627233,84121,97973,32648,medium,214742,34.2364001894033
Post_8,youtube,gaming,shorts,uk,2066886,317502,45222,33638,high,396362,19.17677123943943
Post_9,twitter,education,live stream,india,2169523,496078,96041,30174,medium,622293,28.68340183533431
Post_10,tiktok,gaming,shorts,india,3898384,8634,69378,42700,low,120712,3.0964625342193073
Post_11,instagram,comedy,live stream,germany,4070332,379894,46012,25242,high,451148,11.083813310560416
Post_12,twitter,music,reel,australia,4585669,465871,69083,8999,medium,543953,11.862020568863562
Post_13,youtube,viral,shorts,canada,4105651,195560,37627,49089,high,282276,6.875304306186765
Post_14,youtube,fitness,reel,japan,1633015,312907,45774,30725,high,389406,23.845831177300884
Post_15,twitter,comedy,post,germany,2471790,370802,54110,17081,high,441993,17.88149478717852
Post_16,youtube,gaming,live stream,canada,3079923,124237,44062,26702,medium,195001,6.331359582690865
Post_17,twitter,dance,reel,uk,294870,213142,20351,20767,low,254260,86.22782921287347
Post_18,tiktok,tech,shorts,uk,2051091,24472,54704,41737,medium,120913,5.895057800945935
Post_19,tiktok,fashion,post,usa,3461154,165335,50077,19505,low,234917,6.7872449477833126
Post_20,youtube,education,tweet,uk,3143932,298685,84720,37162,low,420567,13.377102303739393
Post_21,twitter,gaming,video,brazil,14095,268310,90495,16968,low,375773,2666.0021284143313
Post_22,tiktok,viral,live stream,usa,3924406,35376,72832,3949,medium,112157,2.857935697784582
Post_23,youtube,dance,shorts,brazil,599766,223690,22531,10538,low,256759,42.80986251304675
Post_24,twitter,education,shorts,japan,4357851,449803,63438,28280,high,541521,12.426331235280875
Post_25,youtube,dance,tweet,germany,731492,474649,98377,3654,high,576680,78.83613217916259
Post_26,youtube,dance,live stream,brazil,4910814,197287,53218,14896,low,265401,5.40441971534658
Post_27,instagram,gaming,video,india,4369260,212278,21264,18172,low,251714,5.761021317110907
Post_28,youtube,tech,post,canada,1874437,322601,35671,48768,medium,407040,21.715320386868164
Post_29,instagram,gaming,live stream,canada,1653907,91836,77370,2823,low,172029,10.40137081468305
Post_30,youtube,education,shorts,japan,4683280,311330,3357,5110,medium,319797,6.828483456039357
Post_31,instagram,comedy,reel,australia,1365655,156164,84930,18303,low,259397,18.994328728705273
Post_32,twitter,music,video,usa,2342195,91944,89578,44440,medium,225962,9.647446092233993
Post_33,youtube,gaming,live stream,usa,4977438,8731,4500,46045,low,59276,1.1908937891340887
Post_34,youtube,viral,reel,australia,3005703,16688,77970,15891,low,110549,3.6779748365024756
Post_35,youtube,education,tweet,uk,936390,368646,92202,2016,low,462864,49.43068593214366
Post_36,tiktok,education,live stream,japan,1855796,158156,6423,20518,high,185097,9.973994986517914
Post_37,instagram,music,reel,germany,48908,205884,37256,14618,low,257758,527.0262533736811
Post_38,instagram,dance,video,india,1367820,10794,7617,36639,medium,55050,4.024652366539457
Post_39,tiktok,gaming,shorts,usa,4499253,469481,89583,41549,high,600613,13.349171518027546
Post_40,twitter,comedy,post,usa,4510477,274631,82143,13932,low,370706,8.2187759742484
Post_41,twitter,education,reel,india,4380015,355402,41860,42729,high,439991,10.04542221887368
Post_42,youtube,fashion,live stream,australia,943395,402996,18661,11999,high,433656,45.967595757874484
Post_43,twitter,comedy,post,brazil,3961278,49656,93072,23952,medium,166680,4.207732958908716
Post_44,youtube,comedy,shorts,brazil,4080112,171609,17994,41339,medium,230942,5.6601877595516985
Post_45,twitter,comedy,shorts,germany,3934142,380972,42858,26194,low,450024,11.438936367828106
Post_46,instagram,gaming,tweet,brazil,272327,274271,56073,17526,high,347870,127.73981279858407
Post_47,instagram,tech,reel,japan,1600237,325368,62818,25686,medium,413872,25.863169018089195
Post_48,instagram,dance,live stream,india,2212857,74624,24137,35546,medium,134307,6.069393548701972
Post_49,twitter,gaming,live stream,usa,4711157,313821,86074,36395,high,436290,9.260782436246553
Post_50,instagram,fashion,reel,japan,2747788,422463,21545,40997,low,485005,17.650743070426103
Post_51,youtube,dance,post,australia,2081426,225061,67840,28774,medium,321675,15.454548948653471
Post_52,youtube,music,live stream,canada,2258494,159509,25505,8605,medium,193619,8.57292514392334
Post_53,youtube,comedy,tweet,japan,1357850,472399,90644,33331,low,596374,43.92046249585742
Post_54,twitter,fitness,reel,canada,392337,332566,43169,45161,medium,420896,107.27920129888335
Post_55,twitter,dance,reel,usa,4006009,491965,60534,31438,high,583937,14.57652741169578
Post_56,youtube,fitness,tweet,australia,3934991,389693,81891,32967,medium,504551,12.822164015114648
Post_57,instagram,challenge,live stream,australia,2824818,34126,53516,29452,low,117094,4.145187406763904
Post_58,twitter,dance,video,australia,197986,184395,9408,7599,medium,201402,101.7253745214308
Post_59,youtube,challenge,post,germany,2291491,474568,83894,6150,high,564612,24.639503275378345
Post_60,twitter,music,live stream,uk,3525573,40967,4121,26381,low,71469,2.0271598404004116
Post_61,tiktok,music,reel,usa,866896,122451,79602,25491,low,227544,26.24813126372714
Post_62,youtube,tech,video,australia,4104535,331535,60374,13314,medium,405223,9.872567781734107
Post_63,tiktok,dance,tweet,india,2601441,93254,55921,48758,low,197933,7.608590777188488
Post_64,instagram,gaming,shorts,canada,1142030,212596,72334,18,high,284948,24.951008292251515
Post_65,youtube,fashion,shorts,canada,2969591,358102,26688,8128,low,392918,13.231384389298054
Post_66,tiktok,education,post,japan,855465,14117,73654,46422,high,134193,15.686556434219986
Post_67,youtube,viral,video,brazil,4453459,376054,36502,19620,high,432176,9.704277057451298
Post_68,twitter,dance,reel,japan,1059696,75851,99754,47614,high,223219,21.064437348069635
Post_69,twitter,fitness,tweet,usa,581577,341805,67524,485,high,409814,70.46599160558276
Post_70,youtube,fitness,tweet,australia,4226427,421149,53769,27804,medium,502722,11.894728100118611
Post_71,twitter,dance,reel,japan,485214,50577,92342,43775,medium,186694,38.476630929857755
Post_72,instagram,education,tweet,australia,1419701,68719,98115,36515,low,203349,14.323368089477995
Post_73,tiktok,fashion,post,germany,4378457,136878,89273,41624,medium,267775,6.115738946391389
Post_74,tiktok,music,post,india,3647159,216783,79133,7687,high,303603,8.324369735457104
Post_75,youtube,gaming,video,usa,1750105,125485,942,20317,low,146744,8.384868336471241
Post_76,instagram,dance,tweet,india,1796369,145118,68421,16720,high,230259,12.818023468452195
Post_77,twitter,fitness,shorts,india,1535141,15408,23087,23147,medium,61642,4.0153966313192075
Post_78,twitter,challenge,video,australia,612594,132163,29340,40557,medium,202060,32.98432567083582
Post_79,instagram,challenge,reel,usa,4219632,171996,5043,3436,medium,180475,4.277031741156575
Post_80,twitter,viral,shorts,japan,3994554,241425,99422,41307,high,382154,9.566875300721932
Post_81,instagram,challenge,shorts,india,4290853,211176,66264,14337,medium,291777,6.799976601389048
Post_82,instagram,dance,live stream,australia,284772,338933,22771,18899,low,380603,133.65183374769992
